fiscal_year,report_year,designated_group,subgroup,data_year,value
FY2023-24,2024,Persons with disabilities,Speech impairment,2024,0.2%
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2017,0.4%
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2018,0.4%
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2019,0.4%
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2020,0.4%
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2021,0.4%
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2022,0.4%
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2023,0.5%
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2024,0.5%
FY2023-24,2024,Persons with disabilities,Deaf or hard of hearing,2017,0.9%
FY2023-24,2024,Persons with disabilities,Deaf or hard of hearing,2018,0.8%
FY2023-24,2024,Persons with disabilities,Deaf or hard of hearing,2019,0.8%
FY2023-24,2024,Persons with disabilities,Deaf or hard of hearing,2020,0.7%
FY2023-24,2024,Persons with disabilities,Deaf or hard of hearing,2021,0.8%
FY2023-24,2024,Persons with disabilities,Deaf or hard of hearing,2022,0.8%
FY2023-24,2024,Persons with disabilities,Deaf or hard of hearing,2023,0.8%
FY2023-24,2024,Persons with disabilities,Deaf or hard of hearing,2024,0.9%
FY2023-24,2024,Persons with disabilities,Other disability,2017,3.0%
FY2023-24,2024,Persons with disabilities,Other disability,2018,3.0%
FY2023-24,2024,Persons with disabilities,Other disability,2019,3.1%
FY2023-24,2024,Persons with disabilities,Other disability,2020,3.1%
FY2023-24,2024,Persons with disabilities,Other disability,2021,3.7%
FY2023-24,2024,Persons with disabilities,Other disability,2022,4.2%
FY2023-24,2024,Persons with disabilities,Other disability,2023,4.9%
FY2023-24,2024,Persons with disabilities,Other disability,2024,5.9%
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2018,934
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2019,930
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2020,926
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2021,"1,094"
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2022,"1,164"
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2023,"1,257"
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2024,"1,388"
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2025,"1,480"
FY2024-25,2025,Persons with disabilities,Mobility,2018,"1,746"
FY2024-25,2025,Persons with disabilities,Mobility,2019,"1,737"
FY2024-25,2025,Persons with disabilities,Mobility,2020,"1,741"
FY2024-25,2025,Persons with disabilities,Mobility,2021,"2,186"
FY2024-25,2025,Persons with disabilities,Mobility,2022,"2,307"
FY2024-25,2025,Persons with disabilities,Mobility,2023,"2,588"
FY2024-25,2025,Persons with disabilities,Mobility,2024,"2,912"
FY2024-25,2025,Persons with disabilities,Mobility,2025,"3,114"
FY2024-25,2025,Persons with disabilities,Speech impairment,2018,215
FY2024-25,2025,Persons with disabilities,Speech impairment,2019,224
FY2024-25,2025,Persons with disabilities,Speech impairment,2020,235
FY2024-25,2025,Persons with disabilities,Speech impairment,2021,276
FY2024-25,2025,Persons with disabilities,Speech impairment,2022,323
FY2024-25,2025,Persons with disabilities,Speech impairment,2023,349
FY2024-25,2025,Persons with disabilities,Speech impairment,2024,412
FY2024-25,2025,Persons with disabilities,Speech impairment,2025,433
FY2024-25,2025,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,2018,
FY2024-25,2025,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,2019,
FY2024-25,2025,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,2020,
FY2024-25,2025,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,2021,
FY2024-25,2025,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,2022,
FY2024-25,2025,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,2023,
FY2024-25,2025,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,2024,
FY2024-25,2025,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,2025,
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2018,0.5%
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2019,0.5%
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2020,0.4%
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2021,0.5%
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2022,0.5%
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2023,0.5%
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2024,0.5%
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,2025,0.6%
FY2024-25,2025,Persons with disabilities,Mobility,2018,0.9%
FY2024-25,2025,Persons with disabilities,Mobility,2019,0.9%
FY2024-25,2025,Persons with disabilities,Mobility,2020,0.8%
FY2024-25,2025,Persons with disabilities,Mobility,2021,1.0%
FY2024-25,2025,Persons with disabilities,Mobility,2022,1.0%
FY2024-25,2025,Persons with disabilities,Mobility,2023,1.0%
FY2024-25,2025,Persons with disabilities,Mobility,2024,1.1%
FY2024-25,2025,Persons with disabilities,Mobility,2025,1.2%
FY2024-25,2025,Persons with disabilities,Speech impairment,2018,0.1%
FY2024-25,2025,Persons with disabilities,Speech impairment,2019,0.1%
FY2024-25,2025,Persons with disabilities,Speech impairment,2020,0.1%
FY2024-25,2025,Persons with disabilities,Speech impairment,2021,0.1%
FY2024-25,2025,Persons with disabilities,Speech impairment,2022,0.1%
FY2024-25,2025,Persons with disabilities,Speech impairment,2023,0.1%
FY2024-25,2025,Persons with disabilities,Speech impairment,2024,0.2%
FY2024-25,2025,Persons with disabilities,Speech impairment,2025,0.2%
FY2024-25,2025,Persons with disabilities,Blind or visual impairment,2018,0.4%
FY2024-25,2025,Persons with disabilities,Blind or visual impairment,2019,0.4%
FY2024-25,2025,Persons with disabilities,Blind or visual impairment,2020,0.4%
FY2024-25,2025,Persons with disabilities,Blind or visual impairment,2021,0.4%
FY2024-25,2025,Persons with disabilities,Blind or visual impairment,2022,0.4%
FY2024-25,2025,Persons with disabilities,Blind or visual impairment,2023,0.5%
FY2024-25,2025,Persons with disabilities,Blind or visual impairment,2024,0.5%
FY2024-25,2025,Persons with disabilities,Blind or visual impairment,2025,0.5%
FY2024-25,2025,Persons with disabilities,Deaf or hard of hearing,2018,0.8%
FY2024-25,2025,Persons with disabilities,Deaf or hard of hearing,2019,0.8%
FY2024-25,2025,Persons with disabilities,Deaf or hard of hearing,2020,0.7%
FY2024-25,2025,Persons with disabilities,Deaf or hard of hearing,2021,0.8%
FY2024-25,2025,Persons with disabilities,Deaf or hard of hearing,2022,0.8%
FY2024-25,2025,Persons with disabilities,Deaf or hard of hearing,2023,0.8%
FY2024-25,2025,Persons with disabilities,Deaf or hard of hearing,2024,0.9%
FY2024-25,2025,Persons with disabilities,Deaf or hard of hearing,2025,0.9%
FY2024-25,2025,Persons with disabilities,Other disability,2018,3.0%
FY2024-25,2025,Persons with disabilities,Other disability,2019,3.1%
FY2024-25,2025,Persons with disabilities,Other disability,2020,3.1%
FY2024-25,2025,Persons with disabilities,Other disability,2021,3.7%
FY2024-25,2025,Persons with disabilities,Other disability,2022,4.2%
FY2024-25,2025,Persons with disabilities,Other disability,2023,4.9%
FY2024-25,2025,Persons with disabilities,Other disability,2024,5.9%
FY2024-25,2025,Persons with disabilities,Other disability,2025,6.9%
