fiscal_year,report_year,designated_group,subgroup,data_year,value
FY2023-24,2024,Racialized persons,Other visible minority groups,2021,"4,852"
FY2023-24,2024,Racialized persons,Other visible minority groups,2022,"5,041"
FY2023-24,2024,Racialized persons,Other visible minority groups,2023,"5,402 67"
FY2023-24,2024,Racialized persons,Other visible minority groups,2024,"5,975"
FY2023-24,2024,Racialized persons,Black,2017,2.8%
FY2023-24,2024,Racialized persons,Black,2018,2.9%
FY2023-24,2024,Racialized persons,Black,2019,3.2%
FY2023-24,2024,Racialized persons,Black,2020,3.5%
FY2023-24,2024,Racialized persons,Black,2021,3.8%
FY2023-24,2024,Racialized persons,Black,2022,4.2%
FY2023-24,2024,Racialized persons,Black,2023,4.6%
FY2023-24,2024,Racialized persons,Black,2024,5.0%
FY2023-24,2024,Racialized persons,Non-White Latin American,2017,0.6%
FY2023-24,2024,Racialized persons,Non-White Latin American,2018,0.6%
FY2023-24,2024,Racialized persons,Non-White Latin American,2019,0.7%
FY2023-24,2024,Racialized persons,Non-White Latin American,2020,0.7%
FY2023-24,2024,Racialized persons,Non-White Latin American,2021,0.8%
FY2023-24,2024,Racialized persons,Non-White Latin American,2022,0.9%
FY2023-24,2024,Racialized persons,Non-White Latin American,2023,1.0%
FY2023-24,2024,Racialized persons,Non-White Latin American,2024,1.1%
FY2023-24,2024,Racialized persons,Person of mixed origin,2017,1.2%
FY2023-24,2024,Racialized persons,Person of mixed origin,2018,1.2%
FY2023-24,2024,Racialized persons,Person of mixed origin,2019,1.3%
FY2023-24,2024,Racialized persons,Person of mixed origin,2020,1.4%
FY2023-24,2024,Racialized persons,Person of mixed origin,2021,1.5%
FY2023-24,2024,Racialized persons,Person of mixed origin,2022,1.6%
FY2023-24,2024,Racialized persons,Person of mixed origin,2023,1.7%
FY2023-24,2024,Racialized persons,Person of mixed origin,2024,1.7%
FY2023-24,2024,Racialized persons,Chinese,2017,2.9%
FY2023-24,2024,Racialized persons,Chinese,2018,2.9%
FY2023-24,2024,Racialized persons,Chinese,2019,3.0%
FY2023-24,2024,Racialized persons,Chinese,2020,3.0%
FY2023-24,2024,Racialized persons,Chinese,2021,3.2%
FY2023-24,2024,Racialized persons,Chinese,2022,3.3%
FY2023-24,2024,Racialized persons,Chinese,2023,3.4%
FY2023-24,2024,Racialized persons,Chinese,2024,3.3%
FY2023-24,2024,Racialized persons,Japanese,2017,0.1%
FY2023-24,2024,Racialized persons,Japanese,2018,0.1%
FY2023-24,2024,Racialized persons,Japanese,2019,0.1%
FY2023-24,2024,Racialized persons,Japanese,2020,0.1%
FY2023-24,2024,Racialized persons,Japanese,2021,0.1%
FY2023-24,2024,Racialized persons,Japanese,2022,0.1%
FY2023-24,2024,Racialized persons,Japanese,2023,0.1%
FY2023-24,2024,Racialized persons,Japanese,2024,0.1%
FY2023-24,2024,Racialized persons,Korean,2017,0.2%
FY2023-24,2024,Racialized persons,Korean,2018,0.2%
FY2023-24,2024,Racialized persons,Korean,2019,0.2%
FY2023-24,2024,Racialized persons,Korean,2020,0.2%
FY2023-24,2024,Racialized persons,Korean,2021,0.3%
FY2023-24,2024,Racialized persons,Korean,2022,0.3%
FY2023-24,2024,Racialized persons,Korean,2023,0.3%
FY2023-24,2024,Racialized persons,Korean,2024,0.3%
FY2023-24,2024,Racialized persons,Filipino,2017,0.6%
FY2023-24,2024,Racialized persons,Filipino,2018,0.6%
FY2023-24,2024,Racialized persons,Filipino,2019,0.6%
FY2023-24,2024,Racialized persons,Filipino,2020,0.7%
FY2023-24,2024,Racialized persons,Filipino,2021,0.7%
FY2023-24,2024,Racialized persons,Filipino,2022,0.8%
FY2023-24,2024,Racialized persons,Filipino,2023,0.9%
FY2023-24,2024,Racialized persons,Filipino,2024,0.9%
FY2023-24,2024,Racialized persons,South Asian / East Indian,2017,2.7%
FY2023-24,2024,Racialized persons,South Asian / East Indian,2018,2.7%
FY2023-24,2024,Racialized persons,South Asian / East Indian,2019,2.9%
FY2023-24,2024,Racialized persons,South Asian / East Indian,2020,3.0%
FY2023-24,2024,Racialized persons,South Asian / East Indian,2021,3.3%
FY2023-24,2024,Racialized persons,South Asian / East Indian,2022,3.7%
FY2023-24,2024,Racialized persons,South Asian / East Indian,2023,4.0%
FY2023-24,2024,Racialized persons,South Asian / East Indian,2024,4.3%
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2017,1.6%
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2018,1.7%
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2019,1.8%
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2020,2.0%
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2021,2.1%
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2022,2.3%
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2023,2.6%
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2024,2.8%
FY2023-24,2024,Racialized persons,Southeast Asian,2017,0.7%
FY2023-24,2024,Racialized persons,Southeast Asian,2018,0.7%
FY2023-24,2024,Racialized persons,Southeast Asian,2019,0.7%
FY2023-24,2024,Racialized persons,Southeast Asian,2020,0.8%
FY2023-24,2024,Racialized persons,Southeast Asian,2021,0.8%
FY2023-24,2024,Racialized persons,Southeast Asian,2022,0.9%
FY2023-24,2024,Racialized persons,Southeast Asian,2023,0.9%
FY2023-24,2024,Racialized persons,Southeast Asian,2024,1.1%
FY2023-24,2024,Racialized persons,Other visible minority groups,2017,1.9%
FY2023-24,2024,Racialized persons,Other visible minority groups,2018,2.3%
FY2023-24,2024,Racialized persons,Other visible minority groups,2019,2.3%
FY2023-24,2024,Racialized persons,Other visible minority groups,2020,2.3%
FY2023-24,2024,Racialized persons,Other visible minority groups,2021,2.1%
FY2023-24,2024,Racialized persons,Other visible minority groups,2022,2.1%
FY2023-24,2024,Racialized persons,Other visible minority groups,2023,2.1%
FY2023-24,2024,Racialized persons,Other visible minority groups,2024,2.2%
FY2024-25,2025,Racialized persons,Black,2018,"5,538"
FY2024-25,2025,Racialized persons,Black,2019,"6,468"
FY2024-25,2025,Racialized persons,Black,2020,"7,427"
FY2024-25,2025,Racialized persons,Black,2021,"8,754"
FY2024-25,2025,Racialized persons,Black,2022,"9,809"
FY2024-25,2025,Racialized persons,Black,2023,"11,771"
FY2024-25,2025,Racialized persons,Black,2024,"13,270"
FY2024-25,2025,Racialized persons,Black,2025,"13,741"
FY2024-25,2025,Racialized persons,Non-White Latin American,2018,"1,170"
FY2024-25,2025,Racialized persons,Non-White Latin American,2019,"1,387"
FY2024-25,2025,Racialized persons,Non-White Latin American,2020,"1,585"
FY2024-25,2025,Racialized persons,Non-White Latin American,2021,"1,869"
FY2024-25,2025,Racialized persons,Non-White Latin American,2022,"2,148"
FY2024-25,2025,Racialized persons,Non-White Latin American,2023,"2,567"
FY2024-25,2025,Racialized persons,Non-White Latin American,2024,"2,947"
FY2024-25,2025,Racialized persons,Non-White Latin American,2025,"3,115"
FY2024-25,2025,Racialized persons,Person of mixed origin,2018,"2,227"
FY2024-25,2025,Racialized persons,Person of mixed origin,2019,"2,568"
FY2024-25,2025,Racialized persons,Person of mixed origin,2020,"2,999"
FY2024-25,2025,Racialized persons,Person of mixed origin,2021,"3,490"
FY2024-25,2025,Racialized persons,Person of mixed origin,2022,"3,851"
FY2024-25,2025,Racialized persons,Person of mixed origin,2023,"4,409"
FY2024-25,2025,Racialized persons,Person of mixed origin,2024,"4,657"
FY2024-25,2025,Racialized persons,Person of mixed origin,2025,"4,363"
FY2024-25,2025,Racialized persons,Chinese,2018,"5,592"
FY2024-25,2025,Racialized persons,Chinese,2019,"6,042"
FY2024-25,2025,Racialized persons,Chinese,2020,"6,505"
FY2024-25,2025,Racialized persons,Chinese,2021,"7,241"
FY2024-25,2025,Racialized persons,Chinese,2022,"7,785"
FY2024-25,2025,Racialized persons,Chinese,2023,"8,505"
FY2024-25,2025,Racialized persons,Chinese,2024,"8,803"
FY2024-25,2025,Racialized persons,Chinese,2025,"8,464"
FY2024-25,2025,Racialized persons,Japanese,2018,229
FY2024-25,2025,Racialized persons,Japanese,2019,235
FY2024-25,2025,Racialized persons,Japanese,2020,249
FY2024-25,2025,Racialized persons,Japanese,2021,271
FY2024-25,2025,Racialized persons,Japanese,2022,277
FY2024-25,2025,Racialized persons,Japanese,2023,296
FY2024-25,2025,Racialized persons,Japanese,2024,311
FY2024-25,2025,Racialized persons,Japanese,2025,299
FY2024-25,2025,Racialized persons,Korean,2018,383
FY2024-25,2025,Racialized persons,Korean,2019,448
FY2024-25,2025,Racialized persons,Korean,2020,535
FY2024-25,2025,Racialized persons,Korean,2021,642
FY2024-25,2025,Racialized persons,Korean,2022,717
FY2024-25,2025,Racialized persons,Korean,2023,847
FY2024-25,2025,Racialized persons,Korean,2024,885
FY2024-25,2025,Racialized persons,Korean,2025,873
FY2024-25,2025,Racialized persons,Filipino,2018,"1,095"
FY2024-25,2025,Racialized persons,Filipino,2019,"1,231"
FY2024-25,2025,Racialized persons,Filipino,2020,"1,410"
FY2024-25,2025,Racialized persons,Filipino,2021,"1,641"
FY2024-25,2025,Racialized persons,Filipino,2022,"1,855"
FY2024-25,2025,Racialized persons,Filipino,2023,"2,176"
FY2024-25,2025,Racialized persons,Filipino,2024,"2,440"
FY2024-25,2025,Racialized persons,Filipino,2025,"2,421"
FY2024-25,2025,Racialized persons,South Asian / East Indian,2018,"5,222"
FY2024-25,2025,Racialized persons,South Asian / East Indian,2019,"5,799"
FY2024-25,2025,Racialized persons,South Asian / East Indian,2020,"6,500"
FY2024-25,2025,Racialized persons,South Asian / East Indian,2021,"7,646"
FY2024-25,2025,Racialized persons,South Asian / East Indian,2022,"8,699"
FY2024-25,2025,Racialized persons,South Asian / East Indian,2023,"10,125"
FY2024-25,2025,Racialized persons,South Asian / East Indian,2024,"11,334"
FY2024-25,2025,Racialized persons,South Asian / East Indian,2025,"11,811"
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2018,"3,184"
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2019,"3,689"
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2020,"4,318"
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2021,"4,839"
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2022,"5,459"
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2023,"6,555"
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2024,"7,355"
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2025,"7,706"
FY2024-25,2025,Racialized persons,Southeast Asian,2018,"1,293"
FY2024-25,2025,Racialized persons,Southeast Asian,2019,"1,432"
FY2024-25,2025,Racialized persons,Southeast Asian,2020,"1,637"
FY2024-25,2025,Racialized persons,Southeast Asian,2021,"1,877"
FY2024-25,2025,Racialized persons,Southeast Asian,2022,"2,087"
FY2024-25,2025,Racialized persons,Southeast Asian,2023,"2,381"
FY2024-25,2025,Racialized persons,Southeast Asian,2024,"3,038"
FY2024-25,2025,Racialized persons,Southeast Asian,2025,"3,892"
FY2024-25,2025,Racialized persons,Other visible minority groups,2018,"4,340"
FY2024-25,2025,Racialized persons,Other visible minority groups,2019,"4,705"
FY2024-25,2025,Racialized persons,Other visible minority groups,2020,"4,980"
FY2024-25,2025,Racialized persons,Other visible minority groups,2021,"4,852"
FY2024-25,2025,Racialized persons,Other visible minority groups,2022,"5,041"
FY2024-25,2025,Racialized persons,Other visible minority groups,2023,"5,402"
FY2024-25,2025,Racialized persons,Other visible minority groups,2024,"5,975"
FY2024-25,2025,Racialized persons,Other visible minority groups,2025,"7,080"
FY2024-25,2025,Racialized persons,Total,2018,"30,273"
FY2024-25,2025,Racialized persons,Total,2019,"34,004"
FY2024-25,2025,Racialized persons,Total,2020,"38,145"
FY2024-25,2025,Racialized persons,Total,2021,"43,122"
FY2024-25,2025,Racialized persons,Total,2022,"47,728"
